# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	975305
#@/user_id	config_yamls
a 	啊	c=4269 d=4.42228 t=975299
huo kuan 	貨款	c=1 d=0 t=975297
huo la la 	火辣辣	c=1 d=0 t=975297
huo le 	活了	c=1 d=0 t=975297
huo li 	活力	c=10 d=1.29174e-41 t=975297
huo li 	獲利	c=4 d=5.40795e-210 t=975297
huo long guo 	火龍果	c=2 d=5.2891e-37 t=975297
huo lu 	活路	c=1 d=3.37478e-45 t=975297
huo ma 	活馬	c=1 d=0 t=975297
huo mian 	和麪	c=2 d=2.2872e-163 t=975297
huo miao 	火苗	c=1 d=1.55239e-27 t=975297
huo po 	活潑	c=13 d=4.30216e-19 t=975297
huo qi 	活期	c=3 d=8.15731e-46 t=975297
huo qi 	火氣	c=1 d=9.83373e-39 t=975297
huo qian 	活錢	c=2 d=5.54876e-42 t=975297
huo qiang 	火槍	c=0 d=1.29416e-64 t=975297
huo qu 	獲取	c=241 d=0.00191125 t=975297
huo re 	火熱	c=5 d=5.67031e-91 t=975297
huo se 	貨色	c=1 d=0 t=975297
huo shao 	火燒	c=1 d=5.16295e-194 t=975297
huo sheng 	獲勝	c=0 d=0 t=975297
huo sheng sheng 	活生生	c=1 d=0 t=975297
huo shi 	伙食	c=7 d=1.52404e-16 t=975297
huo shi 	或是	c=4 d=0 t=975297
huo su 	火速	c=5 d=1.78216e-92 t=975297
huo tui 	火腿	c=5 d=8.5937e-159 t=975297
huo tui chang 	火腿腸	c=1 d=0 t=975297
huo wu 	貨物	c=3 d=0 t=975297
huo xian 	火線	c=1 d=0 t=975297
huo xing 	火星	c=38 d=1.19401e-86 t=975297
huo xing tan 	活性炭	c=5 d=0 t=975297
huo xu 	或許	c=59 d=0.0271874 t=975297
huo yan 	火焰	c=1 d=0 t=975297
huo yi bei zi 	活一輩子	c=1 d=7.52917e-162 t=975297
huo yuan 	貨源	c=1 d=9.15845e-290 t=975297
huo yue 	活躍	c=16 d=1.17447e-39 t=975297
huo yun 	貨運	c=1 d=0 t=975297
huo zai 	活在	c=3 d=0 t=975297
huo zai 	火災	c=2 d=4.77037e-146 t=975297
huo zhe 	或者	c=496 d=0.0162677 t=975297
huo zhe 	活着	c=9 d=8.02999e-162 t=975297
huo zhe shuo 	或者說	c=7 d=2.48924e-82 t=975297
huo zi 	活字	c=2 d=0 t=975297
huo zuo 	或作	c=1 d=0 t=975297
ibeacon 	iBeacon	c=0 d=7.86718e-209 t=975297
icloud 	iCloud	c=1 d=1.09824e-73 t=975297
ios 	iOS	c=81 d=1.59475e-07 t=975297
ios uap 	iOSUAP	c=1 d=1.54572e-182 t=975297
ip 	IP	c=1 d=1.54292e-102 t=975297
ipad 	iPad	c=5 d=6.6286e-38 t=975297
iphone 	iPhone	c=18 d=1.12977e-53 t=975297
ips 	IPS	c=1 d=1.95538e-95 t=975297
iterm 	iTerm	c=2 d=0 t=975297
java script 	JavaScript	c=1 d=3.44764e-61 t=975297
jay 	Jay	c=2 d=2.94389e-85 t=975297
ji 	冀	c=2 d=4.85716e-211 t=975297
ji 	即	c=233 d=1.17018e-07 t=975297
ji 	及	c=631 d=0.0966078 t=975297
ji 	吉	c=4 d=9.33505e-15 t=975297
ji 	基	c=12 d=5.72085e-19 t=975297
ji 	寄	c=1 d=0 t=975297
ji 	己	c=2 d=0 t=975297
ji 	幾	c=25 d=2.495e-21 t=975297
ji 	急	c=74 d=4.82073e-06 t=975297
ji 	擠	c=26 d=2.97863e-59 t=975297
ji 	機	c=12 d=7.37625e-10 t=975297
ji 	濟	c=40 d=0.000176887 t=975297
ji 	紀	c=5 d=4.41125e-137 t=975297
ji 	級	c=23 d=2.40583e-34 t=975297
ji 	計	c=0 d=0 t=975297
ji 	集	c=1 d=0 t=975297
ji 	雞	c=7 d=3.40985e-49 t=975297
ji ba 	幾把	c=6 d=7.84705e-31 t=975297
ji bai 	幾百	c=5 d=0 t=975297
ji bai dao 	幾百刀	c=1 d=0 t=975297
ji bai ge 	幾百個	c=1 d=0 t=975297
ji bai kuai 	幾百塊	c=3 d=0 t=975297
ji bai tiao 	幾百條	c=1 d=0 t=975297
ji bai wan 	幾百萬	c=3 d=1.04064e-145 t=975297
ji bai zhao 	及百兆	c=1 d=0 t=975297
ji ban 	羈絆	c=1 d=3.04755e-286 t=975297
ji bao 	季報	c=1 d=3.58018e-93 t=975297
ji bao 	幾包	c=2 d=0 t=975297
ji bei 	幾倍	c=2 d=8.43754e-61 t=975297
ji ben 	基本	c=516 d=0.790571 t=975297
ji ben 	幾本	c=1 d=3.58593e-200 t=975297
ji ben fa 	基本法	c=2 d=8.27837e-173 t=975297
ji ben gong 	基本功	c=1 d=0 t=975297
ji ben mian 	基本面	c=13 d=0.000142667 t=975297
ji ben pan 	基本盤	c=1 d=2.39711e-197 t=975297
ji ben shang 	基本上	c=434 d=0.446855 t=975297
ji ben shang ba 	基本上吧	c=1 d=1.03323e-61 t=975297
ji ben shu 	幾本書	c=2 d=1.42304e-121 t=975297
ji bian 	即便	c=3 d=5.54651e-96 t=975297
ji bian 	幾遍	c=3 d=1.152e-47 t=975297
ji bian shi 	即便是	c=1 d=0 t=975297
ji bie 	級別	c=82 d=7.08703e-09 t=975297
ji bing 	疾病	c=1 d=0 t=975297
ji bo 	幾波	c=1 d=0 t=975297
ji bu de 	記不得	c=5 d=3.99732e-213 t=975297
ji bu ji 	急不急	c=1 d=0 t=975297
ji bu ke nai 	急不可耐	c=1 d=4.65591e-125 t=975297
ji bu ke shi 	機不可失	c=3 d=0 t=975297
ji bu qi lai 	記不起來	c=2 d=3.3369e-119 t=975297
ji bu qing 	記不清	c=9 d=1.84991e-31 t=975297
ji bu qing chu 	記不清楚	c=2 d=4.40739e-303 t=975297
ji bu shang qu 	擠不上去	c=1 d=0 t=975297
ji bu shi 	既不是	c=1 d=4.32036e-98 t=975297
ji bu xia 	擠不下	c=2 d=1.42269e-30 t=975297
ji bu zhu 	記不住	c=1 d=8.78693e-09 t=975297
ji ceng 	基層	c=9 d=1.20999e-66 t=975297
ji ceng 	幾層	c=1 d=0 t=975297
ji cha 	極差	c=3 d=0 t=975297
ji cha ji yong 	即插即用	c=1 d=1.11129e-153 t=975297
ji chang 	幾場	c=1 d=0 t=975297
ji chang 	機場	c=50 d=9.76848e-13 t=975297
ji chang ba shi 	機場巴士	c=1 d=1.10064e-128 t=975297
ji che 	機車	c=2 d=0 t=975297
ji cheng 	擠成	c=2 d=3.74258e-203 t=975297
ji cheng 	繼承	c=19 d=1.37096e-06 t=975297
ji cheng 	記成	c=1 d=0 t=975297
ji cheng 	集成	c=169 d=2.12616e-05 t=975297
ji chi 	雞翅	c=3 d=7.99008e-67 t=975297
ji chong ru 	即衝入	c=1 d=0 t=975297
ji chu 	基礎	c=784 d=0.0558989 t=975297
ji chu 	幾處	c=2 d=0 t=975297
ji chu 	擠出	c=5 d=0 t=975297
ji chu bo ruo 	基礎薄弱	c=1 d=0 t=975297
ji chu ceng 	基礎層	c=1 d=9.44119e-236 t=975297
ji chu cha 	基礎差	c=1 d=0 t=975297
ji chu fen 	基礎分	c=2 d=0 t=975297
ji chu gou jia 	基礎構架	c=1 d=0 t=975297
ji chu jian she 	基礎建設	c=1 d=6.17191e-147 t=975297
ji chu ku 	基礎庫	c=548 d=0.00142631 t=975297
ji chu lei 	基礎類	c=3 d=4.17833e-234 t=975297
ji chu lei ku 	基礎類庫	c=1 d=4.55363e-99 t=975297
ji chu mo kuai 	基礎模塊	c=1 d=3.5758e-108 t=975297
ji chu pian 	基礎篇	c=1 d=0 t=975297
ji chu qu 	寄出去	c=2 d=9.53437e-87 t=975297
ji chu shang 	基礎上	c=15 d=1.91242e-69 t=975297
ji chu ti 	基礎題	c=1 d=1.36739e-181 t=975297
ji chu ti mu 	基礎題目	c=1 d=2.95424e-185 t=975297
ji chu xing 	基礎性	c=6 d=2.70657e-08 t=975297
ji chu zha shi 	基礎紮實	c=1 d=1.26058e-136 t=975297
ji chu zu jian 	基礎組件	c=1 d=0 t=975297
ji ci 	幾次	c=48 d=2.59508e-11 t=975297
ji ci hua 	幾次話	c=1 d=7.36157e-250 t=975297
ji cuo 	寄錯	c=9 d=9.8508e-30 t=975297
ji cuo 	記錯	c=16 d=2.18089e-85 t=975297
ji cuo le 	記錯了	c=1 d=1.83925e-110 t=975297
ji da 	吉大	c=1 d=0 t=975297
ji da 	幾大	c=1 d=2.29115e-77 t=975297
ji da 	極大	c=26 d=3.19972e-36 t=975297
ji da kuai 	幾大塊	c=1 d=2.90887e-150 t=975297
ji dai 	幾代	c=1 d=7.40344e-111 t=975297
ji dan 	雞蛋	c=13 d=1.32421e-39 t=975297
ji dan li 	雞蛋裏	c=1 d=0 t=975297
ji dan mian 	雞蛋麪	c=1 d=4.98877e-202 t=975297
ji dang 	激盪	c=2 d=2.19415e-178 t=975297
ji dao 	寄到	c=3 d=8.87524e-09 t=975297
ji dao 	擠到	c=0 d=0 t=975297
ji de 	急得	c=0 d=0 t=975297
ji de 	記得	c=244 d=4.47822e-15 t=975297
ji de mo fa 	急得莫法	c=1 d=0 t=975297
ji dei 	及得	c=3 d=7.44007e-169 t=975297
ji di 	基地	c=8 d=7.33764e-77 t=975297
ji di 	極低	c=6 d=2.3752e-236 t=975297
ji di tie 	及地鐵	c=1 d=0 t=975297
ji dian 	寄點	c=1 d=0 t=975297
ji dian 	幾點	c=75 d=0.137396 t=975297
ji dian 	機電	c=1 d=2.54058e-175 t=975297
ji dian 	積澱	c=1 d=0 t=975297
ji dian qi 	繼電器	c=1 d=2.78647e-203 t=975297
ji dian yao qiu 	幾點要求	c=1 d=1.64549e-212 t=975297
ji dian zou 	幾點走	c=1 d=6.60705e-125 t=975297
ji diao 	基調	c=1 d=0 t=975297
ji diao 	擠掉	c=1 d=0 t=975297
ji ding 	既定	c=10 d=7.21917e-35 t=975297
ji dong 	幾棟	c=0 d=7.08197e-31 t=975297
ji dong 	激動	c=40 d=2.59508e-13 t=975297
ji dong che 	機動車	c=9 d=1.4922e-238 t=975297
ji dong lou 	幾棟摟	c=1 d=7.11747e-30 t=975297
ji du 	季度	c=79 d=0.000446085 t=975297
ji du 	幾度	c=6 d=1.77944e-74 t=975297
ji duan 	極端	c=6 d=1.71449e-19 t=975297
ji dun 	幾頓	c=2 d=3.28117e-67 t=975297
ji e 	飢餓	c=0 d=0 t=975297
ji e ying xiao 	飢餓營銷	c=1 d=0 t=975297
ji ei 	及誒	c=1 d=3.08484e-47 t=975297
ji er 	繼而	c=1 d=2.60154e-248 t=975297
ji fa 	幾發	c=2 d=3.40952e-136 t=975297
ji fa 	激發	c=6 d=1.25297e-153 t=975297
ji fan 	幾番	c=1 d=0 t=975297
ji fang 	機房	c=10 d=2.02697e-165 t=975297
ji fang mian 	幾方面	c=2 d=3.70933e-10 t=975297
ji fei 	計費	c=28 d=4.4967e-178 t=975297
ji fen 	幾份	c=1 d=2.4407e-115 t=975297
ji fen 	幾分	c=7 d=0.339596 t=975297
ji fen 	積分	c=3 d=1.00289e-168 t=975297
ji fen zhong 	幾分鐘	c=23 d=3.5571e-17 t=975297
ji fu 	幾幅	c=2 d=7.26938e-06 t=975297
ji fu 	繼父	c=1 d=1.43505e-161 t=975297
ji fu luo si 	基輔羅斯	c=0 d=1.48455e-208 t=975297
ji gao 	極高	c=2 d=2.13937e-06 t=975297
ji ge 	及格	c=3 d=4.98061e-124 t=975297
ji ge 	幾個	c=316 d=0.822287 t=975297
ji ge dian 	幾個點	c=2 d=1.07636e-189 t=975297
ji ge lei bie 	幾個類別	c=1 d=0 t=975297
ji ge ren 	幾個人	c=23 d=2.72717e-09 t=975297
ji ge shen 	幾個腎	c=1 d=3.60464e-173 t=975297
ji ge xiao shi 	幾個小時	c=2 d=7.44031e-140 t=975297
ji ge yi 	幾個億	c=1 d=3.06371e-25 t=975297
ji ge yue 	幾個月	c=22 d=3.35281e-27 t=975297
ji ge zi 	幾個字	c=1 d=2.98241e-179 t=975297
ji gong jin li 	急功近利	c=1 d=0 t=975297
ji gou 	機構	c=37 d=1.7339e-39 t=975297
ji gu tou 	雞骨頭	c=1 d=2.02488e-06 t=975297
ji guan 	幾罐	c=1 d=0 t=975297
ji guan 	機關	c=1 d=1.32102e-40 t=975297
ji guan 	籍貫	c=1 d=0 t=975297
ji guang 	極光	c=15 d=6.89922e-64 t=975297
ji guo lai 	寄過來	c=1 d=1.48206e-11 t=975297
ji guo qu 	寄過去	c=1 d=7.76715e-87 t=975297
ji hang 	幾行	c=7 d=7.79281e-67 t=975297
ji hao 	幾號	c=3 d=1.16402e-169 t=975297
ji hao 	極好	c=2 d=3.2092e-12 t=975297
ji hao 	記好	c=2 d=5.02944e-33 t=975297
ji hao 	記號	c=2 d=3.52845e-157 t=975297
ji he 	集合	c=53 d=0.0173367 t=975297
ji hu 	幾乎	c=140 d=0.257947 t=975297
ji hua 	計劃	c=672 d=0.323041 t=975297
ji hua gan bu shang 	計劃趕不上	c=1 d=0 t=975297
ji hua ri 	計劃日	c=1 d=0 t=975297
ji hua xing 	計劃性	c=1 d=0 t=975297
ji hua zhong 	計劃中	c=1 d=6.97214e-287 t=975297
ji hui 	忌諱	c=2 d=0 t=975297
ji hui 	機會	c=109 d=9.28029e-34 t=975297
ji hui 	集會	c=1 d=0 t=975297
ji hui lai 	機會來	c=1 d=0 t=975297
ji huo 	激活	c=38 d=3.05268e-12 t=975297
ji ji 	唧唧	c=3 d=7.72948e-118 t=975297
ji ji 	積極	c=146 d=0.00355287 t=975297
ji ji 	雞雞	c=9 d=0 t=975297
ji ji can jia 	積極參加	c=1 d=1.25135e-79 t=975297
ji ji can yu 	積極參與	c=1 d=0 t=975297
ji ji ci 	積極次	c=1 d=8.93623e-207 t=975297
ji ji diao 	雞雞掉	c=1 d=0 t=975297
ji ji gu li 	積極鼓勵	c=1 d=5.73352e-45 t=975297
ji ji heng heng 	唧唧哼哼	c=1 d=3.38195e-305 t=975297
ji ji mang mang 	急急忙忙	c=1 d=2.41783e-210 t=975297
ji ji wai wai 	唧唧歪歪	c=1 d=2.66267e-139 t=975297
ji ji xing 	積極性	c=31 d=5.9043e-08 t=975297
ji ji zhu dong 	積極主動	c=5 d=0 t=975297
ji jia 	幾家	c=3 d=9.08879e-24 t=975297
ji jia 	極佳	c=2 d=0.0258615 t=975297
ji jia 	計價	c=1 d=0 t=975297
ji jian 	基建	c=212 d=3.43624e-08 t=975297
ji jian 	寄監	c=1 d=0 t=975297
ji jian 	幾件	c=1 d=0 t=975297
ji jiang 	即將	c=54 d=4.46161e-06 t=975297
ji jiao 	計較	c=2 d=3.69388e-196 t=975297
ji jie 	季節	c=5 d=0.00873865 t=975297
ji jie 	幾節	c=1 d=0 t=975297
ji jie cong 	季節從	c=1 d=1.42236e-86 t=975297
ji jin 	基金	c=137 d=5.61411e-24 t=975297
ji jin 	幾斤	c=6 d=2.96095e-07 t=975297
ji jin 	激進	c=16 d=4.85581e-07 t=975297
ji jin hui 	基金會	c=1 d=0 t=975297
ji jin jing li 	基金經理	c=1 d=7.71452e-154 t=975297
ji jin rou 	幾斤肉	c=1 d=2.97579e-06 t=975297
ji jing 	幾經	c=0 d=1.16822e-36 t=975297
ji jing 	雞精	c=1 d=0 t=975297
ji jing zhan zhuan 	幾經輾轉	c=1 d=1.17407e-35 t=975297
ji jing zhou zhuan 	幾經週轉	c=1 d=0 t=975297
ji jiu 	急救	c=1 d=5.42766e-194 t=975297
ji ju 	幾句	c=11 d=7.79571e-42 t=975297
ji ju 	極具	c=3 d=0.0175975 t=975297
ji ju hua 	幾句話	c=3 d=6.13337e-44 t=975297
ji ka 	及卡	c=2 d=0 t=975297
ji kao 	機考	c=1 d=9.55448e-53 t=975297
ji ke 	即刻	c=1 d=0 t=975297
ji ke 	即可	c=236 d=1.94048e-05 t=975297
ji ke 	極客	c=19 d=2.65893e-05 t=975297
ji ke bang 	極客幫	c=1 d=0 t=975297
ji ke yi 	既可以	c=1 d=1.52274e-06 t=975297
ji kou 	幾口	c=2 d=1.16789e-24 t=975297
ji kou 	忌口	c=2 d=1.36502e-190 t=975297
ji kuai 	幾塊	c=8 d=2.4612e-37 t=975297
ji kuai 	極快	c=1 d=0 t=975297
ji kuai qian 	幾塊錢	c=2 d=2.02516e-37 t=975297
ji kuan 	寄款	c=1 d=3.16586e-146 t=975297
ji kuan 	幾款	c=7 d=1.98561e-99 t=975297
ji lai 	寄來	c=3 d=0 t=975297
ji lei 	基類	c=12 d=2.8027e-95 t=975297
ji lei 	幾類	c=1 d=0 t=975297
ji lei 	積累	c=57 d=7.05964e-11 t=975297
ji lei 	雞肋	c=10 d=2.73889e-30 t=975297
ji lei shang 	積累上	c=4 d=2.84952e-31 t=975297
ji li 	吉利	c=9 d=3.50713e-27 t=975297
ji li 	極力	c=2 d=5.12427e-135 t=975297
ji li 	激勵	c=11 d=2.3892e-70 t=975297
ji lian 	級聯	c=9 d=1.7142e-17 t=975297
ji liang 	劑量	c=1 d=6.73544e-28 t=975297
ji liang 	計量	c=3 d=7.79041e-34 t=975297
ji lie 	激烈	c=6 d=2.25833e-25 t=975297
ji lin 	吉林	c=1 d=4.14085e-275 t=975297
ji ling 	機靈	c=3 d=1.91902e-18 t=975297
ji lou 	幾樓	c=1 d=2.89162e-227 t=975297
ji lu 	記錄	c=306 d=0.246597 t=975297
ji lu yi 	記錄儀	c=2 d=0 t=975297
ji lu yi dan 	記錄一旦	c=1 d=0 t=975297
ji lun 	幾輪	c=2 d=4.12604e-87 t=975297
ji lv 	機率	c=9 d=4.29982e-42 t=975297
ji lv 	紀律	c=2 d=6.84321e-39 t=975297
ji mai 	即買	c=3 d=4.3016e-136 t=975297
ji mai ji yong 	即買即用	c=2 d=8.71166e-135 t=975297
ji mao 	幾毛	c=2 d=2.58389e-168 t=975297
ji mao qian 	幾毛錢	c=2 d=4.964e-26 t=975297
ji mi 	幾米	c=2 d=0 t=975297
ji mi 	機密	c=2 d=4.75228e-307 t=975297
ji mian 	幾面	c=2 d=2.54632e-106 t=975297
ji miao 	幾秒	c=2 d=6.62613e-12 t=975297
ji mo 	寂寞	c=12 d=3.67117e-06 t=975297
ji mu 	積木	c=2 d=6.39802e-41 t=975297
ji nan 	濟南	c=18 d=4.51042e-118 t=975297
ji neng 	技能	c=118 d=0.0796568 t=975297
ji neng 	既能	c=3 d=0 t=975297
ji neng dian 	技能點	c=1 d=4.24577e-99 t=975297
ji neng tu 	技能圖	c=1 d=0 t=975297
ji nian 	幾年	c=28 d=1.28534e-12 t=975297
ji nian 	紀念	c=11 d=1.30814e-13 t=975297
ji nian pin 	紀念品	c=1 d=1.2502e-127 t=975297
ji nian qian 	幾年前	c=1 d=2.64874e-49 t=975297
ji niao 	饑溺	c=0 d=0 t=975297
ji niao ge 	饑溺個	c=1 d=0 t=975297
ji nve 	及虐	c=1 d=0 t=975297
ji pa 	季趴	c=3 d=0 t=975297
ji pai 	雞排	c=2 d=0 t=975297
ji pian 	幾篇	c=1 d=2.58917e-192 t=975297
ji piao 	機票	c=26 d=1.63677e-32 t=975297
ji ping 	幾瓶	c=1 d=0 t=975297
ji po 	急迫	c=1 d=3.74816e-103 t=975297
ji qi 	及其	c=1 d=1.59393e-161 t=975297
ji qi 	幾期	c=1 d=4.34026e-152 t=975297
ji qi 	極其	c=12 d=7.77981e-18 t=975297
ji qi 	機器	c=187 d=0.197901 t=975297
ji qi gan ga 	極其尷尬	c=1 d=5.61466e-122 t=975297
ji qi lai 	記起來	c=3 d=0 t=975297
ji qi mao 	機器貓	c=6 d=0 t=975297
ji qi ren 	機器人	c=31 d=2.11795e-15 t=975297
ji qi xue xi 	機器學習	c=3 d=0 t=975297
ji qian 	幾千	c=13 d=4.67944e-243 t=975297
ji qiang 	極強	c=7 d=1.00223e-47 t=975297
ji qiao 	技巧	c=21 d=2.40672e-09 t=975297
ji qing 	激情	c=14 d=2.7005e-11 t=975297
ji quan 	幾圈	c=2 d=0 t=975297
ji que 	急缺	c=9 d=1.12564e-245 t=975297
ji qun 	集羣	c=26 d=3.72844e-41 t=975297
ji ran 	既然	c=37 d=1.39599e-13 t=975297
ji ren 	幾人	c=1 d=3.00266e-141 t=975297
ji ren 	急人	c=2 d=0 t=975297
ji ren 	擠人	c=1 d=1.58468e-122 t=975297
ji ren 	濟人	c=3 d=4.53444e-20 t=975297
ji ren 	繼任	c=4 d=1.72274e-47 t=975297
ji rou 	肌肉	c=4 d=6.92478e-60 t=975297
ji rou 	雞肉	c=6 d=2.68283e-22 t=975297
ji ru 	計入	c=1 d=0 t=975297
ji sha 	急啥	c=7 d=3.61936e-74 t=975297
ji shao 	極少	c=3 d=3.31327e-152 t=975297
ji shao shu 	極少數	c=3 d=9.78604e-70 t=975297
ji shen 	寄身	c=1 d=0 t=975297
ji shen 	機審	c=23 d=6.04025e-158 t=975297
ji shen bu guo 	機審不過	c=1 d=0 t=975297
ji sheng 	躋升	c=1 d=0 t=975297
ji sheng chong 	寄生蟲	c=1 d=1.57105e-138 t=975297
ji shi 	即使	c=1 d=3.1889e-290 t=975297
ji shi 	及時	c=132 d=0.0042436 t=975297
ji shi 	妓師	c=0 d=1.82903e-163 t=975297
ji shi 	幾十	c=6 d=2.77556e-11 t=975297
ji shi 	急事	c=1 d=1.98567e-70 t=975297
ji shi 	既是	c=4 d=2.95481e-11 t=975297
ji shi ben 	記事本	c=1 d=3.48114e-204 t=975297
ji shi fen zhong 	幾十分鐘	c=1 d=2.78947e-10 t=975297
ji shi gan 	既視感	c=4 d=2.09604e-265 t=975297
ji shi ge 	幾十個	c=1 d=0 t=975297
ji shi hang 	幾十行	c=1 d=0 t=975297
ji shi jin 	幾十斤	c=2 d=0 t=975297
ji shi kuai kuai 	幾十塊塊	c=1 d=0 t=975297
ji shi kuai qian 	幾十塊錢	c=1 d=0 t=975297
ji shi nian 	幾十年	c=2 d=3.21631e-38 t=975297
ji shi qi 	計時器	c=1 d=2.69621e-198 t=975297
ji shi sui 	幾十歲	c=2 d=0 t=975297
ji shi wan 	幾十萬	c=4 d=0 t=975297
ji shi yi 	幾十億	c=2 d=1.30943e-55 t=975297
ji shi yu 	及時雨	c=1 d=0 t=975297
ji shi zhi sun 	及時止損	c=1 d=2.18677e-146 t=975297
ji shou 	棘手	c=2 d=4.69006e-64 t=975297
ji shu 	基數	c=1 d=2.42646e-105 t=975297
ji shu 	奇數	c=2 d=4.6193e-91 t=975297
ji shu 	技術	c=2070 d=0.523735 t=975297
ji shu 	級數	c=1 d=0 t=975297
ji shu ba 	技術吧	c=1 d=6.30497e-192 t=975297
ji shu ban 	技術版	c=3 d=0 t=975297
ji shu biao 	技術標	c=2 d=5.6659e-170 t=975297
ji shu bu 	技術部	c=71 d=0.00557201 t=975297
ji shu ce 	技術側	c=48 d=0.000450569 t=975297
ji shu ceng 	技術層	c=1 d=0 t=975297
ji shu dian 	技術點	c=4 d=3.78724e-78 t=975297
ji shu fang an 	技術方案	c=2 d=8.14595e-59 t=975297
ji shu fang mian 	技術方面	c=1 d=1.16696e-228 t=975297
ji shu fen xiang 	技術分享	c=1 d=3.93255e-21 t=975297
ji shu guan 	技術官	c=6 d=0.0356146 t=975297
ji shu ji lei 	技術積累	c=1 d=1.47718e-31 t=975297
ji shu jia gou 	技術架構	c=2 d=2.11012e-138 t=975297
ji shu lei 	技術類	c=4 d=0 t=975297
ji shu mian 	技術面	c=7 d=3.39552e-117 t=975297
ji shu mian shi 	技術面試	c=1 d=7.65077e-174 t=975297
ji shu neng li 	技術能力	c=2 d=7.33798e-37 t=975297
ji shu neng li shang 	技術能力上	c=1 d=7.37476e-36 t=975297
ji shu ren 	技術人	c=7 d=2.3993e-150 t=975297
ji shu shang 	技術上	c=10 d=5.22118e-32 t=975297
ji shu shi xian 	技術實現	c=1 d=2.69091e-263 t=975297
ji shu tie 	技術貼	c=2 d=7.82661e-206 t=975297
ji shu wei 	技術委	c=23 d=0 t=975297
ji shu wen ti 	技術問題	c=1 d=3.22202e-147 t=975297
ji shu xing 	技術性	c=3 d=6.15473e-173 t=975297
ji shu xu qiu 	技術需求	c=1 d=3.30718e-101 t=975297
ji shu xuan xing 	技術選型	c=1 d=0 t=975297
ji shu zhai 	技術債	c=5 d=1.1691e-132 t=975297
ji shu zhan 	技術棧	c=122 d=0.00760596 t=975297
ji shu zong 	技術總	c=1 d=5.54049e-142 t=975297
ji shu zu 	技術組	c=9 d=8.13097e-08 t=975297
ji shuang en 	及雙嗯	c=1 d=0 t=975297
ji shui 	計稅	c=1 d=1.28106e-61 t=975297
ji si 	擠死	c=1 d=2.70383e-143 t=975297
ji si guang yi 	集思廣益	c=6 d=6.36834e-155 t=975297
ji si kao 	即思考	c=1 d=8.18711e-177 t=975297
ji si lu 	即思路	c=2 d=0 t=975297
ji su 	急速	c=2 d=1.74559e-289 t=975297
ji su 	極速	c=2 d=0 t=975297
ji su 	激素	c=0 d=1.77039e-162 t=975297
ji su heavy italic 	激素HeavyItalic	c=1 d=1.77926e-161 t=975297
ji suan 	計算	c=61 d=1.41584e-32 t=975297
ji suan chu 	計算出	c=1 d=2.38765e-33 t=975297
ji suan ji 	計算機	c=21 d=1.36369e-20 t=975297
ji suan qi 	計算器	c=5 d=0 t=975297
ji sui 	幾歲	c=2 d=4.56153e-90 t=975297
ji ta 	吉他	c=3 d=9.93963e-46 t=975297
ji tai 	幾臺	c=4 d=2.14981e-122 t=975297
ji tang 	雞湯	c=1 d=2.26172e-72 t=975297
ji tao 	幾套	c=5 d=3.34643e-34 t=975297
ji ti 	機體	c=1 d=0 t=975297
ji ti 	集體	c=30 d=2.59682e-21 t=975297
ji ti jiang 	集體獎	c=1 d=6.83352e-51 t=975297
ji tian 	幾天	c=130 d=0.00054485 t=975297
ji tiao 	幾條	c=5 d=2.91687e-06 t=975297
ji tiao jie 	幾條街	c=3 d=1.81446e-68 t=975297
ji tuan 	集團	c=164 d=0.0535979 t=975297
ji tuan nei 	集團內	c=1 d=0 t=975297
ji tuan you 	集團有	c=1 d=0 t=975297
ji tui 	雞腿	c=15 d=1.25296e-06 t=975297
ji tuo 	寄託	c=3 d=7.42086e-168 t=975297
ji wan 	幾晚	c=0 d=6.94174e-31 t=975297
ji wan 	幾萬	c=9 d=1.16603e-13 t=975297
ji wan kuai 	幾萬塊	c=2 d=0 t=975297
ji wan ren 	幾萬人	c=1 d=5.04417e-38 t=975297
ji wei 	即爲	c=4 d=8.44254e-303 t=975297
ji wei 	幾位	c=39 d=1.31765e-10 t=975297
ji wei 	極爲	c=1 d=0 t=975297
ji xia 	幾下	c=14 d=1.77611e-52 t=975297
ji xia 	記下	c=6 d=9.40911e-196 t=975297
ji xian 	極限	c=1 d=0 t=975297
ji xiang 	吉祥	c=2 d=2.40542e-32 t=975297
ji xiang 	幾項	c=1 d=2.44128e-59 t=975297
ji xiang 	機箱	c=4 d=9.59941e-20 t=975297
ji xiang 	跡象	c=1 d=4.46241e-155 t=975297
ji xiao 	極小	c=4 d=1.65211e-171 t=975297
ji xiao 	績效	c=201 d=1.6346e-05 t=975297
ji xie 	機械	c=12 d=0.000683978 t=975297
ji xie chuan dong 	機械傳動	c=1 d=9.64042e-217 t=975297
ji xie jian pan 	機械鍵盤	c=1 d=0.00687406 t=975297
ji xie shou 	機械手	c=3 d=5.8851e-146 t=975297
ji xie xing 	機械性	c=1 d=6.8989e-16 t=975297
ji xie zhou 	機械軸	c=1 d=3.92593e-295 t=975297
ji xin cheng 	及新城	c=4 d=6.04805e-137 t=975297
ji xing 	即興	c=1 d=0 t=975297
ji xing 	急性	c=3 d=5.23584e-300 t=975297
ji xing 	機型	c=46 d=1.79554e-33 t=975297
